Wall time,Step,Value
1748387355.225234,32768,-1.4320756196975708
1748387381.260975,49152,-1.4335308074951172
1748387406.5957992,65536,-1.4133849143981934
1748387434.9659069,81920,-1.3854435682296753
1748387463.6575325,98304,-1.3724868297576904
1748387491.766617,114688,-1.370155692100525
1748387520.638815,131072,-1.3570665121078491
1748387548.871068,147456,-1.3418257236480713
1748387577.5576553,163840,-1.3394689559936523
1748387606.1173358,180224,-1.328109622001648
1748387634.2904468,196608,-1.3320187330245972
1748387663.9391024,212992,-1.3289345502853394
1748387692.372547,229376,-1.3282891511917114
1748387720.8052897,245760,-1.323341727256775
1748387749.7800715,262144,-1.3217573165893555
1748387778.5464454,278528,-1.3197497129440308
1748387806.8307517,294912,-1.3197652101516724
1748387836.3350556,311296,-1.3198283910751343
1748387865.1736164,327680,-1.3060754537582397
1748387893.8821287,344064,-1.2970266342163086
1748387922.6962144,360448,-1.2855403423309326
1748387951.8549469,376832,-1.2784373760223389
1748387980.863205,393216,-1.265670895576477
1748388011.5304203,409600,-1.2552958726882935
1748388041.3632557,425984,-1.2416859865188599
1748388072.2225304,442368,-1.2347018718719482
1748388102.1517706,458752,-1.2319517135620117
1748388132.5679042,475136,-1.2197139263153076
1748388163.9741638,491520,-1.2219204902648926
1748388194.2812393,507904,-1.2122918367385864
1748388223.652282,524288,-1.2093122005462646
1748388253.6297266,540672,-1.1918405294418335
1748388284.5065973,557056,-1.1781965494155884
1748388314.3497784,573440,-1.1606404781341553
1748388343.8603747,589824,-1.1497520208358765
1748388373.5534763,606208,-1.1381038427352905
1748388403.24288,622592,-1.135888695716858
1748388433.5469294,638976,-1.1400134563446045
1748388463.1384473,655360,-1.1358472108840942
1748388493.0159225,671744,-1.1360656023025513
1748388523.5198405,688128,-1.1173847913742065
1748388557.223785,704512,-1.1069484949111938
1748388588.4296322,720896,-1.10018789768219
1748388618.8581858,737280,-1.1014989614486694
1748388649.628349,753664,-1.0863397121429443
1748388680.7105453,770048,-1.0792778730392456
1748388711.1134195,786432,-1.0692918300628662
1748388741.6664941,802816,-1.0697563886642456
1748388772.4809701,819200,-1.0702543258666992
1748388802.8776433,835584,-1.0635417699813843
1748388833.3506413,851968,-1.0511823892593384
1748388864.5220165,868352,-1.033164620399475
1748388894.504396,884736,-1.0138479471206665
1748388924.9002821,901120,-1.0153203010559082
1748388955.7207067,917504,-1.0036935806274414
1748388986.211645,933888,-0.9718586206436157
1748389016.8842905,950272,-0.9485728740692139
1748389046.37006,966656,-0.9277772307395935
1748389075.9418015,983040,-0.9047479033470154
1748389105.2348669,999424,-0.8673970699310303
1748389135.436238,1015808,-0.8518202304840088
1748389165.724806,1032192,-0.8226540088653564
1748389196.0559537,1048576,-0.7991948127746582
