Wall time,Step,Value
1748387328.8737936,16384,39.22999954223633
1748387355.2241316,32768,40.880001068115234
1748387381.260975,49152,40.2400016784668
1748387406.5957992,65536,38.119998931884766
1748387434.9659069,81920,39.86000061035156
1748387463.6575325,98304,39.65999984741211
1748387491.766617,114688,40.380001068115234
1748387520.638815,131072,42.369998931884766
1748387548.871068,147456,41.34000015258789
1748387577.5576553,163840,44.97999954223633
1748387606.1170912,180224,47.970001220703125
1748387634.2904468,196608,56.9900016784668
1748387663.9391024,212992,59.43000030517578
1748387692.372547,229376,48.540000915527344
1748387720.8052897,245760,61.9900016784668
1748387749.7799556,262144,63.29999923706055
1748387778.5464454,278528,67.16000366210938
1748387806.8307517,294912,60.540000915527344
1748387836.334824,311296,74.13999938964844
1748387865.1736164,327680,69.1500015258789
1748387893.8821287,344064,71.33999633789062
1748387922.6962144,360448,78.79000091552734
1748387951.854369,376832,89.7300033569336
1748387980.863205,393216,84.2699966430664
1748388011.5304203,409600,99.16999816894531
1748388041.3626506,425984,109.04000091552734
1748388072.2225304,442368,119.9800033569336
1748388102.1517706,458752,118.9800033569336
1748388132.5679042,475136,148.4499969482422
1748388163.9741638,491520,121.76000213623047
1748388194.2812393,507904,141.61000061035156
1748388223.6511621,524288,147.88999938964844
1748388253.6297266,540672,133.66000366210938
1748388284.5065973,557056,138.05999755859375
1748388314.3497784,573440,126.66999816894531
1748388343.8603747,589824,130.33999633789062
1748388373.5534763,606208,165.3300018310547
1748388403.24288,622592,148.33999633789062
1748388433.5469294,638976,119.13999938964844
1748388463.1384473,655360,124.04000091552734
1748388493.0159225,671744,139.67999267578125
1748388523.5198405,688128,136.72999572753906
1748388557.223785,704512,153.91000366210938
1748388588.4296322,720896,159.6300048828125
1748388618.8581858,737280,135.02000427246094
1748388649.628349,753664,146.3800048828125
1748388680.7095878,770048,154.41000366210938
1748388711.1134195,786432,154.74000549316406
1748388741.6664941,802816,122.66999816894531
1748388772.4809701,819200,143.89999389648438
1748388802.876645,835584,139.8699951171875
1748388833.3506413,851968,132.00999450683594
1748388864.5220165,868352,128.3800048828125
1748388894.504396,884736,142.39999389648438
1748388924.8995492,901120,129.47999572753906
1748388955.7207067,917504,149.10000610351562
1748388986.211645,933888,147.2899932861328
1748389016.8842905,950272,148.97999572753906
1748389046.3692806,966656,147.24000549316406
1748389075.9418015,983040,159.25999450683594
1748389105.2348669,999424,150.42999267578125
1748389135.436238,1015808,161.35000610351562
1748389165.724806,1032192,146.0800018310547
1748389196.0559537,1048576,146.92999267578125
1748389226.0812387,1064960,183.19000244140625
1748389256.0731256,1081344,167.7100067138672
1748389285.2465034,1097728,170.44000244140625
1748389315.1186435,1114112,184.9199981689453
1748389344.7265222,1130496,182.61000061035156
1748389374.1914122,1146880,188.9199981689453
1748389403.5251725,1163264,178.25
1748389433.31789,1179648,173.52999877929688
1748389462.6732047,1196032,193.8800048828125
1748389492.6016154,1212416,186.14999389648438
1748389523.136786,1228800,169.72999572753906
1748389553.6533816,1245184,183.63999938964844
1748389584.430931,1261568,185.52999877929688
1748389613.8305917,1277952,175.67999267578125
1748389643.1803176,1294336,192.57000732421875
1748389673.346279,1310720,190.94000244140625
1748389703.0700207,1327104,192.72000122070312
1748389732.1648257,1343488,191.8699951171875
1748389764.095842,1359872,190.7899932861328
1748389794.0729399,1376256,204.7899932861328
1748389822.1621516,1392640,203.0800018310547
1748389851.9433177,1409024,203.08999633789062
1748389881.4496942,1425408,213.80999755859375
1748389910.7777467,1441792,204.16000366210938
1748389939.6476412,1458176,212.25999450683594
